1.  **Listen to the audio and transcribe speech into text segment by segment (Mandarin Chinese):**
    *   00:00 - 00:10: 好，那刚才呢我们已经把这个曲线都绘制完毕了。然后呢大家可能看到这个曲线的一个对比的效果，这里边我们就不再说了。
    *   00:10 - 00:20: 最后呢就是你要选择基于你的任务去选择比较合适的一个模型。还有一个效果呢就是刚才我们去测时间的时候，正常来讲大家测出来的应该是这个，RNN的应该是最快，
    *   00:20 - 00:30: GRU是介于它两者之间，LSTM比它会高一点。但是我们刚才测出来的GRU是不是比其他两个都要高？所以一会呢大家在玩的时候呢，你也可以在你电脑上去测一下，看看你画出来的图是长成什么样子的。
    *   00:30 - 00:40: 好，包括我记得刚才看了某一个同学，他训练一轮用了三分钟还是多久，也有可能咱们班有配置不错的，
    *   00:40 - 00:50: 他训练一轮可能只用十几秒，你有多训练几轮，大家看看那个总耗时，比如跑个10轮、20轮，看看总耗时再说。好了，那这个所谓的模型训练效果对比咱就说到这。
    *   00:50 - 01:00: 接下来呢，再往下边就是准确率啊这些图我们就都不再去聊了。那大家来看这个，以RNN模型为例说一下训练过程，其实就是读数据到内存，然后搞一个数据集对象，接下来呢就是整一个DataSet。然后完事以后我们就开始再来搞一个DataLoader就可以了。
    *   01:00 - 01:10: 有了DataLoader以后，我们就可以去做一个事情。做啥事呢？就是开始来实例化你的对象、损失函数、优化器。接下来就是外循环控制轮数，内循环控制每轮迭代的次数，即批次数。
    *   01:10 - 01:20: 然后往下就是具体的训练。怎么训练呢？算你的预测值，然后算损失，结合三剑客，就是梯度清零、反向传播、梯度更新去更新你的权重矩阵。
    *   01:20 - 01:30: 最后就是因为我们的参数太多，一共是20074条数据。因为咱一批就一条，所以有20000多批。如果每批都算，那这个就很累，所以呢我们是每100次算一次平均损失。
    *   01:30 - 01:40: 然后接下来画的时候呢，是每2000次打一下日志，我们是这样做的。实际开发中根据你数据量的多与少，自行把控。再往下就是把模型保存下来，并且返回了这几个值，方便我们绘图去使用。
    *   01:40 - 01:50: 好，那紧接着我们就开始往下做这个操作了。然后呢，来往下看，下边这个内容呢就是说说这个案例中你是选择哪一个模型的。那就要看了，从损失对比来看，第一轮次RNN的收敛速度快；训练时长来看用时最短；模型的训练准确率GRU最好，所以综合分析我会选择一个什么？GRU。为什么？准确率优先，这哥们的准确率是不是最好的？
    *   01:50 - 02:00: 对，所以我会优先选择它。其实啊真的有时候你不知道咋做，你就做一件事，把这仨手写做一遍，多跑跑看谁效果好。好了，这绘图这一块就不再说了。最后一波就是关于模型的预测，我们就直接把它搞定了。
    *   02:00 - 02:10: 预测这里边正常来讲是写仨，但是我说了我就不写仨，我就带你写一个。这里边第一个是my predict的RNN，把你的值传进来。值传进来，哎等会儿，等会儿，出东西了，出新内容了。各位，
    *   02:10 - 02:20: 往这瞅瞅，这个x是我想预测的，我就问你一个问题，我扔一个Hang在这，请问它能测出来吗？它测不出来。为什么？因为我们模型在训练的时候你不是拿Hang来处理，你告诉我如果是Hang，你得拿谁来做处理啊？4 57。
    *   02:20 - 02:30: 你是不是得拿4 57这个张量来处理啊？你这个Hang你这个Zhang，我玩不了。所以怎么办？第一件事就是你得把能够传入的这个要测的这个内容转成一个向量形式。听明白了吗？但是
    *   02:30 - 02:40: 这里有这个代码吗？没有。所以你看啊，这里边写得多细，你帮我念一下吧，在这呢是吧。对，叫line to tensor。你说line to tensor，老师这是哪个包下的？没有，这是你自己手写的。
    *   02:40 - 02:50: 所以呢在这个PPT上并没有给大家体现出这个自定义手写的这个代码，所以一会我要带着你，咱们把这个代码写出来。就是你要自己写一个，啊就是把行转成它的一个代码。
    *   02:50 - 03:00: 然后，然后你也可以干嘛呢？你也可以就是把之前我们写过的那个转换的动作，前面是不是写过，你可以把它抽取出来，其实也可以，都行。好了，那再往下边就是，那剩下就简单了，搞RNN模型，下载你模型的参数。你看，下载模型参数，那下面就是训练，然后预测一下，打一下结果。
    *   03:00 - 03:10: 那这里边我们要几个呢？我们要前三个。所以说你在这里边写的名儿它会告诉我们，比如Zhang，Zhang，那你看看啊，第一个是，这是哪个啊？俄罗斯吧？然后还有China，这是咱中国，还有这是哪个国家啊？这个我不认识，太草了这名儿，不认识，就爱爱哪哪吧。就爱哪哪吧，就这意思。然后你可以有道翻译一下这个国家是哪个国家，是吧。所以就显示这三，显示前三，就这意思啊。
    *   03:10 - 03:20: 行了，不说了。RNN是这样做，那你看看啊后面的这个LSTM它其实就是在训练这，其实在这，预测这个地方就多了一个细胞状态，上面这个动作都是一样的。GRU在这里边那不用说了，它的动作更是一模一样。能看明白吗？所以我只写一个，剩下两个你自己玩。再往下就没了，这是三个模型综合应用，然后去调这仨打结果，Zhang，然后你看这是A模型预测，这是B模型预测，这是C模型预测。
    *   03:20 - 03:30: 这就是第一个RNN，第二个LSTM，第三个GRU。那是明显发现GRU的结果会更加准确一点吧？对，是这个意思啊。行了，不说了，没了，那后面就没了，这就是总结了。来，最后一个，最后一个干完结束。
    *   03:30 - 03:40: 好，TODO 10，来吧，10该干嘛了？模型，叫模型预测。好，来，TODO 10.1，10.1干嘛？叫RNN模型预测。来，第3，TODO 10.2叫什么？自己写。
    *   03:40 - 03:50: 我是让你自己写啊，不是让你找AI帮你写啊。好，把我上面代码复制下来自己改改啊。这个LSTM你自己写，你写完以后你可以贴自己写的LSTM，你不允许贴我的代码。好，来。你不让我贴我就不贴啊。最好别贴，好吧。来，我们看一下啊。首先TODO，TODO，直接写吧。来第一步啊，10.1它的第一个动作就是干嘛呢？定义变量。
    *   03:50 - 04:00: 记录模型的参数的路径。好，来，my_rnn，my_rnn_path，my_rnn吧，my_rnn_path等于，来，./ model，model下边有谁呢？就是你看，model下边这个叫啥名？my_gru是吧？my_rnn，写对，叫my_rnn，这个是咱的。来，不用我说了，你就会了吧？my_lstm_path等于，你是不是在这里边把它们的路径在这都贴一下，是不是说明一会儿咱用哪个模型做事啊？好，把它写下就行了。来，看着写函数了啊，那接下来就是第二步操作。
    *   04:00 - 04:10: TODO 10.1.1，这是它的第一步。这样好看。TODO 10.1.2，好，那这就好写了。来，1.2，来，接下来后边就写定义函数。将要预测的，将要预测的一个人名转成，转成什么？one-hot编码。例如，刚才是不是让你把这个Zhang转成什么？告诉我，几？还4呢？57。张里面是乘57了吧？def，这里边写它一个操作，叫line_to_tensor。
    *   04:10 - 04:20: line_to_tensor，把这个line扔进去。为啥是一行呢？这就是你给的数据嘛。来，开始了。第一个操作叫初始化张量。好，然后张量是啥？这是文本长度，还有操作就是字符字符字符列表长度。说白了你第一个操作就是一个tensor，tensor_x等于，等于谁？等于torch.zeros，第一个是len，第二操作是n不是，你记不记得咱有个叫n_letters，所以它其实n_letters，所以现在就是把你的长度整过来，再整了n_letters，其实说白了，我现在已经有5 57了，我是不是已经拿到了？
    *   04:20 - 04:30: 那现在的问你就是把你有这个字符里面对应位置是不是改成1，其他是不是不变啊？好，来说吧，怎么做？遍历文本，获取到字符索引。for i, letter in enumerate(line): 好，来，接下来第三步怎么说？查找字符在全局字母表中的一个位置，是不是这个索引啊？好，怎么说？letter_index等于
    *   04:30 - 04:40: all_letters是不是你所有的那个57个那玩意儿，.find，find什么？letter，是不是找它的一个位置啊？好，那现在四就是操作，说。在张量的什么？对应位置，然后干嘛？变为1，然后呢完成。好，所以说那这个操作就是i，i，i就是第一个57，然后第二个57，第三个57，它是这个意思，i就这么往后走，第i个然后你的letter_index这个位置改成1就行，其他不变。那接下来第五个动作就是叫返回结果。
    *   04:40 - 04:50: 怎么返回？返回谁？return tensor_x，即 它就完成了，你看它真的转成5 57这个动作。其实还很厉害的。好，行，就写到这。那接下来我的下个动作该干嘛了？告诉我。我现在是不是已经定义函数并转化成功了？那接下来就该写了。TODO 10.1.3，最后一个，定义函数。
    *   04:50 - 05:00: 实现，实现什么？来，预测。def demo_predict。x，甭管预测谁把它扔进去，x。来，第一步怎么说？第一步怎么说？定义变量，记录模型相关参数。是不是就来了？n_letters，n_hidden，n_categories。57 128是吧？这来第二个操作是把 输入的 文字 转成 怎么转？
    *   05:00 - 05:10: 你把你刚才那个line_to_tensor扔进去是不是就行了？好，然后呢再来呢？第三步呢？第三步呢？创建 模型对象。怎么创建？my_rnn，诶，小写了。等于，说。大写的MyRNN，这是不是那个类啊？里面要得几个？n_letters、n_hidden、还有n_categories。那后面那个操作是加载。
    *   05:10 - 05:20: 加载模型参数，怎么加载啊？什么玩意儿？来。第4个加载怎么加载？my_rnn.load_state_dict，那torch.load你是不是把上面的那个path在这儿扔过来就行了？就它，跟上来了吧？好，那再来，下一个呢？好，进行 预测，不计算梯度，那这就行了。好，为什么不计算梯度呢？叫节省内存和计算机资源。好，来，怎么说？
    *   05:20 - 05:30: with torch.no_grad(): 记住啊，no_grad是啥？no_grad是不计算梯度啊，是不计算梯度。来往后写，说，怎么做？5.1 模型预测呀。怎么预测？传给谁？my_rnn，然后里面写上谁？x_tensor，还需要有一个hidden。好，点，隐层。
    *   05:30 - 05:40: 说，然后呢？预测已经预测过了，然后再从 预测结果中 取 获取，然后叫前三个，前三个什么？最大的一个元素嘛。好，来，那接下来呢这个就是top_v，然后再来个top_i，就是值和你的索引等于output.topk，topk 3 3 1，3 1 True，就行了。好，当然有个问题就是这个topk这个函数是不是好像也没用过吧？解释一下啊，参1都是啥意思？参1，k表示干嘛的？参1这个k，它表示取，取前三个，然后叫最大的一个元素，这是这个参1。参2在这里边是叫谁呢？参2是dim，是维度。
    *   05:40 - 05:50: 好，维度，那这个操作是获取概率最大的元素所在的一个维度。维度，好，那么来吧，接下来我们来看一下，那维度呢在这里边指1了，参3在这里边我们写上，它是一个叫largest, l-a-r-g-e-s-t, largest，好，那么它是一个什么呢？它是一个就是获取概率最大的元素，获取最大的元素。好了，那接下来我们来看一下取到这个位置，那于是呢就是我们的拿到这玩意儿，来接下来5.3。然后叫打印带 预测文本。怎么做？
    *   05:50 - 06:00: RNN，然后冒号，大括号写上一个，tensor，tensor这里边带在这里边你的 你的RNN整个这个地方的一个 一个内容其实就是我们现在所要的整个的这个这个值，当然这里边呢就是上面这个，你的x，就它，在这里边这个x拿过来，到这了。然后呢，你看啊，就是RNN，然后我要预测的是它，在这里边写过来。写过来以后呢，就是注意啊，是打印待预测文本，这个地方写这，RNN写上待预测文本，是x。那5.3写完以后，接下来就到了这个操作，和它并列的地方写上5.4。
    *   06:00 - 06:10: 来，5.4这是啥意思？得解释了，说。解析 解析预测结果。好，for i in range(3): 你知道为啥是range(3)吗？因为你上面的这个结果里面top_v和top_k，top_i和top_v它只有三结果。跟上来了吧？因为你的k是最大的前三，所以只有三结果啊。来，开始了。value等于 top_v，top_v是不是一共有三个呀？三个里面的 0里面的一个 i。好，接下来呢，来个.item()。
    *   06:10 - 06:20: 好，这个操作是谁呢？这个操作其实就是我们刚才所说的，来，听好了，它是概率值。tensor的标量。现在这里边有个小问题啊，就是那top_v在这里边为啥是，诶，top_v为啥是个0？因为你top_v它在这里边是你的topk返回的这个操作，所以说你的维度要注意一下，维度要注意。你不行呢你就可以把它的维度打出来，你看它的形状，然后再做这个事情。好，那接下来再往下边来看。value知道了，那我觉着这个你也知道了，category是吧？
    *   06:20 - 06:30: category_index等于 0 i item，这个操作，那它其实就是你的类别元素。类别索引。来，第二个操作就是你的category。category等于什么？categories categories，这个categories是我们类别名称。去看看前面那个叫什么来着，看一下这儿。叫这个，国家名是不是叫categories这个单词啊？给它拉下来。
    *   06:30 - 06:40: 然后来说，它里面第几个？是不是category_id啊？你上面这个id是多少，我就在这里边去获取就行了。那你现在拿了这个category，其实就是你的类别名称。好，来吧，接下来就到了最后一波了，来，看好啊，print一下。来，看好，看好，value 来了，value。那接下来再有个操作就是category。category，category。所以类别索引，然后类别名称，然后这堆我们现在就已经做完了。概率值是多少，然后后边是你的这个内容。那接下来呢，我们把它注释了，注释以后来就该第七个动作，第七个就是模型的预测。
    *   06:40 - 06:50: 好，比如我来预测一下Zhang，我们来看看它的一个情况啊。右键，走。首先这堆呢我想说，内容跟上面是一样的，都是一样的套路。比如你看，待预测文本是不是Zhang？Zhang在这里边呢就是概率比如负0.8，这个不是概率啊，你要概率再往下玩，是不是要去整一个那个什么softmax那一堆，能跟上来吧？好，那再往下啊，就是概率，概率分，然后谁呢？Chinese，这是 意大利，呃不不，那个俄罗斯。然后这个是，怎么字母这么奇怪呢？这是哪个国家的？越南的？越南语，那这越南的了，是张。来，换一个，换一个，不玩张了，玩一个。Hang？
