The user wants a transcript of the speech in the audio.

1.  **Listen to the audio segment by segment.**
    *   00:10 - 00:18: 今天我们将到第三章，讲8086 CPU的指令系统。首先，
    *   00:18 - 00:27: 大家已经知道，什么是指令？这个概念已经建立，就是
    *   00:27 - 00:41: CPU能认识的一组二进制代码。这一组二进制代码能告诉CPU做什么，如何去做，这么一种代码称为一条指令。
    *   00:41 - 00:49: 那么CPU能认识的所有指令的集合，是该型号CPU的指令系统。
    *   00:49 - 00:56: 也就是说不同型号的CPU的指令系统是不同的。
    *   00:56 - 01:07: 那么在讲指令系统当中的所有指令之前，我们看3.1节，汇编语言的指令当中，我们需要掌握的其他名词概念。
    *   01:07 - 01:13: 那么今天我要讲的第一个概念就是名词解释。
    *   01:13 - 01:25: (Writing on board: 名词解释)
    *   01:25 - 01:38: 名词解释里面，刚才我们已经叙述了，一、什么叫指令？这个前面已经讲过了。
    *   01:38 - 01:48: 第二个名词概念，就是指令系统。
    *   01:48 - 02:08: 就是CPU能识别的，能认识的，所有指令的集合，
    *   02:08 - 02:18: 构成了该型号CPU的指令系统。
    *   02:18 - 02:27: 8086有它的指令系统，8051单片机有它的指令系统。
    *   02:27 - 02:37: MSP430就TI的单片机，也有它的指令系统。就CPU型号不同，指令系统不同，也就是CPU能认识的指令不同。
    *   02:37 - 02:44: 但是指令都是由二进制代码组成的。这是第二个概念。
    *   02:44 - 02:53: 第三个概念，要求大家掌握机器语言。
    *   02:53 - 03:00: 机器语言。
    *   03:00 - 03:13: 就是编程序时，你采用的是机器直接能认识的指令代码来编写程序，采用的这种语言就叫机器语言。
    *   03:13 - 03:20: 显然，机器语言是一种二进制代码语言，
    *   03:20 - 03:26: 或者叫指令代码语言。
    *   03:26 - 03:42: 就是用CPU认识的指令代码来直接编写程序，这种语言叫机器语言。那显然，用机器语言编写的程序就叫机器语言程序。
    *   03:42 - 04:00: (Writing on board: 机器语言程序) 机器语言程序。
    *   04:00 - 04:07: 用户用机器语言编写的程序称为机器语言程序。
    *   04:07 - 04:26: 那机器语言程序最大的优点，就是输入到计算机后，CPU能直接执行，无需翻译，就无需去编译。因为用的就是CPU能直接认识的指令代码来编写的程序，所以CPU能直接执行，这是它的优点。
    *   04:26 - 04:30: 那么它最大的缺点是什么呢？
    *   04:30 - 04:46: 是用户编程序是不是要记忆CPU能认识哪些指令代码，哪条指令代码代表的是什么功能，是不是都要理解？所以编写程序呢，十分的复杂。
    *   04:46 - 04:55: 即使是费了好大的劲把程序编好调好了，过了一段时间再去阅读的时候，自己都不理解了。
    *   04:55 - 05:05: 所以程序的這個功能的扩充、程序的维护等等也是复杂的。
    *   05:05 - 05:13: 就因为他复杂，所以才引出了汇编语言。
    *   05:13 - 05:20: (Writing on board)
    *   05:20 - 05:25: 汇编语言呢是一种符号化语言。
    *   05:25 - 05:41: 怎么要符号化呢？就是把CPU能认识的一条指令，用一组符号和数字来替代。
    *   05:41 - 05:52: 如，CPU认识的B0H 12H，这样就是一条指令。
    *   05:52 - 06:07: 那么这条指令呢，用这样的符号来代替：MOV AL, 12H。是不是用这么一组符号和数字，是不是代替了这么一条指令？
    *   06:07 - 06:19: 把这个指令呢符号化了。符号化了。那么符号化了的这种语言称为汇编语言。
    *   06:19 - 06:31: 显然汇编语言，采用汇编语言编写程序是不是肯定要比用机器语言编写程序呢要容易得多。
    *   06:31 - 06:40: 第六个概念就是汇编语言程序。
    *   06:40 - 06:51: 或者叫汇编语言源程序。
    *   06:51 - 07:00: 当然这个“源”字可以不说，就叫汇编语言程序。那用户用汇编语言编写的程序，
    *   07:00 - 07:13: 是不是叫汇编语言源程序？当然，用汇编语言编写的源程序CPU不能直接执行。在CPU执行之前，就必须把它翻译成机器语言程序。
    *   07:13 - 07:28: 第七个概念，就是汇编。汇编。
    *   07:28 - 07:47: 汇编是个动词，就是把汇编语言源程序翻译成机器语言的这个过程称为汇编。把汇编语言源程序翻译成机器语言程序的过程，
    *   07:47 - 08:23: 就是将汇编语言源程序翻译成机器语言程序的过程，称为汇编。这个翻译过程。
    *   08:23 - 08:42: 那么常用的，常用的这个翻译工具，就是汇编工具，是MASM.EXE，这个汇编程序。
    *   08:42 - 09:03: 这个汇编程序呢，你从网上去找或者在其它地方找都可以。它机器在安装的时候，也不像其它软件安装那么复杂，直接粘贴就行了。明白了吧？直接粘贴就能用。
    *   09:03 - 09:15: 当然一般我们建议大家用5.0以上的版本。当然现在也有一些集成的汇编语言工具汇编程序工具也可以用。
    *   09:15 - 09:30: 当然MASM这个汇编工具一般是在DOS环境下用。当然Windows环境下也能用，一般是在DOS环境下。这是汇编。
    *   09:30 - 09:42: 当然还有一个概念叫反汇编。反汇编。
    *   09:42 - 09:56: 哎，反汇编显然跟汇编来比，显然是不是把机器语言程序翻译成了原来的汇编语言程序格式了？称为反汇编。
